"age","genename","measurement","percent"
12,"SLC1A3",0.793083942227472,0.15365
13,"SLC1A3",0.627170671181542,0.143
14,"SLC1A3",1,0.17265
15,"SLC1A3",0.955623517549415,0.152133333333333
16,"SLC1A3",0.556364477336035,0.1098
17,"SLC1A3",0.233203566733407,0.0546
18,"SLC1A3",0.444233393131171,0.077775
19,"SLC1A3",0.421542488101851,0.08235
20,"SLC1A3",0.54702354528029,0.0841333333333333
21,"SLC1A3",0.44380013396245,0.08955
22,"SLC1A3",0,0.0217333333333333
23,"SLC1A3",0.423494244925457,0.0712
11,"MKI67",0.00280229097105237,0.00015
12,"MKI67",0.0155273436412561,1e-04
13,"MKI67",0,0.00015
14,"MKI67",0.00830451590136252,5e-05
15,"MKI67",0.035990440778982,6.66666666666667e-05
16,"MKI67",0.0200470098260032,1e-04
17,"MKI67",0.120644422041499,6e-04
18,"MKI67",0.152534058849997,9e-04
19,"MKI67",0.405371698549313,0.007225
20,"MKI67",0.350539791156259,0.00473333333333333
21,"MKI67",0.425972410433642,0.0066
22,"MKI67",1,0.0223
23,"MKI67",0.615067999745541,0.01185
11,"MAP2",0.216657827273535,1
12,"MAP2",0.268166749551043,1
13,"MAP2",0,1
14,"MAP2",0.235650170158894,1
15,"MAP2",0.138918857594579,1
16,"MAP2",0.0483574129947081,1
17,"MAP2",0.0529696278434859,1
18,"MAP2",0.190650505035315,1
19,"MAP2",0.0968775673994118,1
20,"MAP2",0.784980642271788,1
21,"MAP2",0.757230003464602,1
22,"MAP2",1,1
23,"MAP2",0.990721015139992,1
11,"MCAM",1,0.10125
12,"MCAM",0.672835033720953,0.03835
13,"MCAM",0.230565398637782,0.01055
14,"MCAM",0.205647053300148,0.0079
15,"MCAM",0.291447071179853,0.0161
16,"MCAM",0.112326468857727,0.0172
17,"MCAM",0.190273271246889,0.03395
18,"MCAM",0.0910125132127817,0.01865
19,"MCAM",0.136877811690793,0.0282
20,"MCAM",0.215288315482872,0.0144666666666667
21,"MCAM",0.138450355226206,0.0225
22,"MCAM",0,0.0126333333333333
23,"MCAM",0.0714199171932984,0.01805
11,"CDH2",0.0746488649766991,0.0063
12,"CDH2",0.119180848512424,0.00755
13,"CDH2",0,0.004
14,"CDH2",0.113521430272506,0.0071
15,"CDH2",0.191839717207139,0.0140333333333333
16,"CDH2",0.296793106308942,0.0333
17,"CDH2",0.712675757789439,0.087175
18,"CDH2",1,0.121175
19,"CDH2",0.735510222020711,0.084575
20,"CDH2",0.495545624967895,0.0570333333333333
21,"CDH2",0.529918969902686,0.0607
22,"CDH2",0.80233792879178,0.0881333333333333
23,"CDH2",0.643969075492508,0.07505
11,"NES",0.414222852743884,0.66925
12,"NES",0.717398584493676,0.78135
13,"NES",0.0660506248716595,0.61425
14,"NES",1,0.8829
15,"NES",0.837190814915997,0.823266666666667
16,"NES",0.685111266767914,0.7757
17,"NES",0.303442208739695,0.679875
18,"NES",0.242336828412226,0.658075
19,"NES",0.198523355455628,0.674025
20,"NES",0.226150420255965,0.666233333333333
21,"NES",0.117344134756388,0.61615
22,"NES",0,0.544866666666667
23,"NES",0.144811799389551,0.63595
11,"RBFOX3",1,0.00455
12,"RBFOX3",0.791274319843916,0.0048
13,"RBFOX3",0.038314776721454,0.0023
14,"RBFOX3",0.788330563237138,0.00475
15,"RBFOX3",0.288918422432156,0.00273333333333333
16,"RBFOX3",0.472730213865676,0.00315
17,"RBFOX3",0.620730031081534,0.00435
18,"RBFOX3",0.489004652801379,0.003575
19,"RBFOX3",0.399532689175182,0.00325
20,"RBFOX3",0.213059281433222,0.0021
21,"RBFOX3",0.170507998883963,0.00245
22,"RBFOX3",0,0.00226666666666667
23,"RBFOX3",0.467049508588261,0.00255
11,"NEUROD1",0.489309937146503,0.26875
12,"NEUROD1",0.796082872257671,0.37585
13,"NEUROD1",0.230443576169638,0.1524
14,"NEUROD1",0.351494503552993,0.1972
15,"NEUROD1",0.885736508512147,0.3812
16,"NEUROD1",0.542545231154605,0.28445
17,"NEUROD1",1,0.4497
18,"NEUROD1",0.628832625549279,0.32635
19,"NEUROD1",0.570183425420207,0.2973
20,"NEUROD1",0.212944989521911,0.1841
21,"NEUROD1",0.130492455184749,0.16015
22,"NEUROD1",0.7375771833662,0.347733333333333
23,"NEUROD1",0,0.13065
11,"OLIG2",0.755568846453468,0.3465
12,"OLIG2",1,0.47255
13,"OLIG2",0,0.0116
14,"OLIG2",0.886273425877531,0.4302
15,"OLIG2",0.62226392139917,0.2825
16,"OLIG2",0.422397424750241,0.20105
17,"OLIG2",0.395241823628417,0.190375
18,"OLIG2",0.227343924816414,0.11245
19,"OLIG2",0.373209288758669,0.17615
20,"OLIG2",0.404029782972659,0.1837
21,"OLIG2",0.326802477170795,0.1473
22,"OLIG2",0.426072552860487,0.1976
23,"OLIG2",0.391459564050982,0.1654
11,"NGFR",1,0.1078
12,"NGFR",0.932421140482353,0.1037
13,"NGFR",0.240975957107735,0.0376
14,"NGFR",0.557513277144692,0.05315
15,"NGFR",0.383250479456271,0.0371333333333333
16,"NGFR",0.264203174702561,0.0397
17,"NGFR",0.542313937082769,0.06305
18,"NGFR",0.246796430403984,0.04015
19,"NGFR",0.129525812537736,0.027625
20,"NGFR",0.135627350010341,0.0239333333333333
21,"NGFR",0,0.01735
22,"NGFR",0.00239647070393739,0.0152666666666667
23,"NGFR",0.0725097461746906,0.0134
11,"PAX6",0,0.16965
12,"PAX6",0.0398054873526042,0.1875
13,"PAX6",0.147005563036337,0.2391
14,"PAX6",0.166060738894109,0.2473
15,"PAX6",0.153506681867927,0.227233333333333
16,"PAX6",0.261446841057202,0.25555
17,"PAX6",0.335789350874852,0.28265
18,"PAX6",0.301669644088034,0.2724
19,"PAX6",0.546727882147276,0.35215
20,"PAX6",0.507236609507988,0.345266666666667
21,"PAX6",0.681039950918982,0.39045
22,"PAX6",0.732027686142577,0.454033333333333
23,"PAX6",1,0.5149
11,"PDGFRA",0.293485226517762,0.01355
12,"PDGFRA",0.18643395232986,0.0106
13,"PDGFRA",0,0.006
14,"PDGFRA",0.0935577067885902,0.0077
15,"PDGFRA",0.312356970310423,0.0202666666666667
16,"PDGFRA",0.140416844750266,0.0102
17,"PDGFRA",0.50739607623119,0.034725
18,"PDGFRA",0.459583636174345,0.02905
19,"PDGFRA",0.474597313081823,0.032125
20,"PDGFRA",0.57374043287431,0.0291666666666667
21,"PDGFRA",0.366527575773397,0.01705
22,"PDGFRA",1,0.0629333333333333
23,"PDGFRA",0.731559021864757,0.03945
11,"PDGFRB",0.511835584448244,0.0935
12,"PDGFRB",1,0.1732
13,"PDGFRB",0.149480736616614,0.02415
14,"PDGFRB",0.475279060010617,0.06265
15,"PDGFRB",0.133083925222463,0.0379333333333333
16,"PDGFRB",0.0434319986887511,0.04605
17,"PDGFRB",0.426659612261149,0.098525
18,"PDGFRB",0.336690595344662,0.0827
19,"PDGFRB",0.195422070422335,0.059525
20,"PDGFRB",0.0599851031660107,0.0355666666666667
21,"PDGFRB",0,0.02915
22,"PDGFRB",0.123650986997587,0.0429333333333333
23,"PDGFRB",0.105685666119024,0.037
11,"PECAM1",0.8041445767229,0.0658
12,"PECAM1",1,0.0905
13,"PECAM1",0,0.00355
14,"PECAM1",0.651327399437827,0.0584
15,"PECAM1",0.443248761914393,0.0456666666666667
16,"PECAM1",0.400679592592795,0.0428
17,"PECAM1",0.550162141084118,0.0525
18,"PECAM1",0.226610584372118,0.019525
19,"PECAM1",0.348120252402723,0.024375
20,"PECAM1",0.413762104641764,0.0172
21,"PECAM1",0.336320149475699,0.01395
22,"PECAM1",0.240988659856385,0.0150666666666667
23,"PECAM1",0.423201924296452,0.0149
11,"PROM1",1,0.17425
12,"PROM1",0.487182047991633,0.0999
13,"PROM1",0,0.02505
14,"PROM1",0.033971082030226,0.02815
15,"PROM1",0.138621781306109,0.0439333333333333
16,"PROM1",0.350089125111536,0.0768
17,"PROM1",0.830320500268479,0.13305
18,"PROM1",0.761800143325998,0.130175
19,"PROM1",0.950639870091045,0.143375
20,"PROM1",0.782647331667472,0.136566666666667
21,"PROM1",0.701452843368902,0.1236
22,"PROM1",0.968472016259245,0.175233333333333
23,"PROM1",0.866796056412954,0.15115
11,"SOX1",0.226930293872205,0.05695
12,"SOX1",0.186922969766889,0.05015
13,"SOX1",0,0.0193
14,"SOX1",0.135161263544017,0.03835
15,"SOX1",0.338073837025168,0.0704
16,"SOX1",0.41137704419536,0.082
17,"SOX1",0.989286461925659,0.153
18,"SOX1",1,0.166025
19,"SOX1",0.679404850373313,0.113225
20,"SOX1",0.597979781877929,0.108433333333333
21,"SOX1",0.479112112901426,0.09385
22,"SOX1",0.914989980691298,0.1518
23,"SOX1",0.59323771365618,0.11255
11,"SOX10",0.930109273500508,0.00625
12,"SOX10",1,0.00505
13,"SOX10",0.0213382962973778,7e-04
14,"SOX10",0,5e-04
15,"SOX10",0.0197052905116832,0.00246666666666667
16,"SOX10",0.183027641548894,0.0059
17,"SOX10",0.960603943160051,0.026025
18,"SOX10",0.857605019843054,0.025
19,"SOX10",0.67956812070073,0.025425
20,"SOX10",0.715641530825404,0.0217666666666667
21,"SOX10",0.466762517287546,0.0136
22,"SOX10",0.92094753368092,0.0224666666666667
23,"SOX10",0.729153989886569,0.0216
11,"SOX2",1,0.02525
12,"SOX2",0.588178868778402,0.0225
13,"SOX2",0,0.0081
14,"SOX2",0.785137008450647,0.0234
15,"SOX2",0.19740870361294,0.0108333333333333
16,"SOX2",0.207120464756147,0.01905
17,"SOX2",0.523517220299015,0.02545
18,"SOX2",0.884798658319819,0.03325
19,"SOX2",0.458176926614231,0.02685
